LAKE_ID,% Bacteria (SSUrRNA analysis),% Eukarya(SSUrRNA analysis),% Archaea(SSUrRNA analysis),% Cyanobacteria(SSUrRNA analysis),% Archaea (RPL2),%Bacteria (RPL2),% Eukarya (RPL2),% Cyanobacteria (RPL2)
LAKE06_071.BS,84.91635186,9.165317503,0.07795167,1.133297356,0.327153762,95.9651036,3.489640131,0.218102508
LAKE06_080.BS,79.83949556,11.81140728,0.120378332,4.958440814,0.595947557,94.99404052,4.290822408,3.694874851
LAKE06_095.BS,87.15348581,7.952604023,0.259024525,11.09672086,1.263157895,95.36842105,2.947368421,9.157894737
LAKE06_102.BS,76.93470464,16.7906577,0.106701443,1.573846291,0,95.57399723,3.596127248,1.383125864
LAKE06_104.BS,87.69600495,8.192352535,0.166559593,2.92193114,0,97.18437784,2.633969119,2.997275204
LAKE06_126.BS,92.07129137,6.101755483,0.013400634,9.764595524,0.109051254,96.40130862,3.271537623,3.380588877
LAKE06_127.BS,87.13894076,7.417855298,0.659541499,2.042194763,1.122019635,94.67040673,3.927068724,1.683029453
LAKE06_129.BS,80.73759959,12.96838859,0.066820869,3.860190182,0.313807531,94.9790795,4.60251046,3.138075314
LAKE06_131.BS,79.03422644,14.32573362,0.099850225,0.840406058,0.110987791,94.45061043,5.216426193,0.554938957
LAKE06_132.BS,73.64721198,19.73096116,0.060750705,1.731395097,0.146412884,95.02196193,4.831625183,1.02489019
LAKE06_136.BS,92.07129137,6.101755483,0.013400634,9.764595524,0,99.0430622,0.956937799,3.987240829
LAKE06_140.BS,90.32757415,6.291820633,0.164785778,3.090981724,0.171232877,97.43150685,2.226027397,2.910958904
LAKE06_141.BS,76.75515464,16.39175258,0.198453608,21.42525773,0.558659218,93.29608939,6.145251397,9.776536313
LAKE06_142.BS,76.21156487,13.1737534,0.056058525,1.880763517,0.105263158,92.10526316,7.473684211,1.157894737
LAKE06_156.BS,85.06412605,10.16855991,0.076951264,4.617075852,0.418410042,97.62900976,1.952580195,3.068340307
LAKE06_161.BS,81.41188801,13.74831562,0.037430753,4.944602485,0.284900285,95.58404558,3.846153846,1.994301994
LAKE06_167.BS,79.71151572,13.01962639,0.127689761,2.118704185,0.796812749,93.62549801,5.378486056,2.589641434
LAKE06_174.BS,88.20355008,6.886094015,0.227455178,4.076353581,0.155279503,95.96273292,3.881987578,2.329192547
LAKE06_196.BS,81.28667153,11.81821338,0.024303024,3.496163594,0.172711572,91.36442142,8.29015544,3.454231434
LAKE06_198.BS,73.87383345,18.73205312,0.085247667,3.504127782,0.500834725,89.64941569,9.682804674,3.171953255
LAKE06_199.BS,62.99128884,26.62391111,0.168049935,4.918032787,0.319488818,88.49840256,9.744408946,5.271565495
LAKE06_217.BS,84.90361707,9.150963829,0.129954516,4.061078622,0.100401606,96.48594378,3.112449799,2.81124498
LAKE06_220.BS,81.59026929,11.10638976,0.116853455,7.79200085,0.219298246,92.98245614,6.578947368,4.605263158
LAKE07_001.AM,67.14009038,30.66494513,0.10520527,2.398201946,0,97.4137931,2.586206897,1.149425287
LAKE07_002.AM,82.83027261,14.26574315,0.038126708,4.057317151,0.580551524,95.06531205,4.35413643,3.047895501
LAKE07_003.AM,52.44023393,40.85639044,0.184684839,1.275693423,0.334448161,87.62541806,11.70568562,1.003344482
LAKE07_006.AM,46.57465864,48.195566,0.126266334,4.304801057,0.35335689,92.22614841,7.067137809,6.183745583
LAKE07_007.AM,30.50336031,68.96447675,0.027431079,9.474694829,0.390625,98.828125,0.78125,15.234375
LAKE07_008.AM,73.03705807,19.55132756,0.124236831,4.344739458,0.444444444,92.59259259,6.518518519,4.148148148
LAKE07_009.AM,77.09971585,13.00469173,0.016520188,1.612370317,0.378787879,92.55050505,6.944444444,0.883838384
LAKE07_010.AM,70.34161491,20.69805195,0.074110672,7.033455675,0,89.12710567,10.71975498,4.900459418
LAKE07_011.AM,84.44631478,8.524708429,0.149092221,1.341829987,0.088731145,96.27329193,3.549245785,1.419698314
LAKE07_014.AM,62.27792574,32.63355789,9.960833464,3.929186903,0.173010381,90.48442907,7.785467128,2.941176471
LAKE07_015.AM,83.84895733,9.711451511,0.232921382,5.379113803,0.366300366,93.95604396,4.487179487,4.120879121
LAKE07_021.AM,52.24212841,42.87936491,0.040229577,3.449015716,0,92.30769231,7.24852071,2.958579882
LAKE07_022.AM,61.51164452,35.23074725,0.120017145,1.334476354,0.138312586,96.40387275,3.457814661,1.383125864
LAKE07_026.AM,79.52952953,16.31926044,0.282635577,5.4760643,0.105485232,96.30801688,3.164556962,4.746835443
LAKE07_028.AM,79.10055365,12.34418979,10.35538647,6.291175652,0.369913687,92.4784217,7.028360049,4.069050555
